n_train,rep,seed,method,output,beta_type,beta_value,true_beta
25,0,20510321,MOOGP,1,intercept,-1.1397861694870366,-1.6549207883921637
25,0,20510321,MOOGP,1,trend,4.3047943413452465,4.216267592457131
25,0,20510321,MOOGP,2,intercept,1.5184737891239268,1.672539605803907
25,0,20510321,MOOGP,2,trend,7.400359885012215,7.108133796228586
25,0,20510321,MOOGP,3,intercept,-0.22244953649078703,-0.1760633692862555
25,0,20510321,MOOGP,3,trend,-8.296440212214208,-8.373014073965729
25,0,20510321,MOGP,1,intercept,-1.9685516609155918,-1.6549207883921637
25,0,20510321,MOGP,1,trend,9.272897515580206,4.216267592457131
25,0,20510321,MOGP,2,intercept,1.1599360802379977,1.672539605803907
25,0,20510321,MOGP,2,trend,9.409198281484851,7.108133796228586
25,0,20510321,MOGP,3,intercept,0.3110923239545329,-0.1760633692862555
25,0,20510321,MOGP,3,trend,-11.333191376226589,-8.373014073965729
25,0,20510321,OLS,1,intercept,-1.2875081793754926,-1.6549207883921637
25,0,20510321,OLS,1,trend,5.045844103260125,4.216267592457131
25,0,20510321,OLS,2,intercept,1.2378090692855506,1.672539605803907
25,0,20510321,OLS,2,trend,7.9341159015045974,7.108133796228586
25,0,20510321,OLS,3,intercept,0.1279639672306873,-0.1760633692862555
25,0,20510321,OLS,3,trend,-9.026003948421065,-8.373014073965729
25,1,20510322,MOOGP,1,intercept,-2.20646984966603,-1.6549207883921637
25,1,20510322,MOOGP,1,trend,6.161312255372176,4.216267592457131
25,1,20510322,MOOGP,2,intercept,1.8979381490621807,1.672539605803907
25,1,20510322,MOOGP,2,trend,6.505743657600806,7.108133796228586
25,1,20510322,MOOGP,3,intercept,-0.20738840654038704,-0.1760633692862555
25,1,20510322,MOOGP,3,trend,-8.426130151513712,-8.373014073965729
25,1,20510322,MOGP,1,intercept,-2.2507474238837557,-1.6549207883921637
25,1,20510322,MOGP,1,trend,9.819534084805884,4.216267592457131
25,1,20510322,MOGP,2,intercept,1.8752345474612806,1.672539605803907
25,1,20510322,MOGP,2,trend,8.388001275058992,7.108133796228586
25,1,20510322,MOGP,3,intercept,-0.17196610657640665,-0.1760633692862555
25,1,20510322,MOGP,3,trend,-11.361381046758245,-8.373014073965729
25,1,20510322,OLS,1,intercept,-2.138100372345439,-1.6549207883921637
